,Sentences
721,  can you find me a place with live music and seafood
722,  can you find me a restaurant
723,  can you find me a restaurant in my area in which i can smoke
724,  can you find me a restaurant in the area that serves chinese food and allows carry out
725,  can you find me a restaurant near the bay
726,  can you find me a restaurant nearby that has a lunch special
727,  can you find me a restaurant serving toppings before 10 am
728,  can you find me a restaurant that has a smoking section on the south side of town
729,  can you find me a restaurant that has happy hour and serves spaghetti
730,  can you find me a restaurant that has low prices
731,  can you find me a restaurant that has one of those playrooms for kids
732,  can you find me a restaurant that is cheap
733,  can you find me a restaurant that is family friendly
734,  can you find me a restaurant that is near me
735,  can you find me a restaurant that is open at 6 am for breakfast
736,  can you find me a restaurant that is rated at least 3 stars and low priced
737,  can you find me a restaurant that serves new york style pizza
738,  can you find me a restaurant that serves vegetarian meatloaf
739,  can you find me a restaurant with a good view
740,  can you find me a restaurant with a salad bar
741,  can you find me a restaurant with a smoking area nearby
742,  can you find me a restaurant with at least a few star rating
743,  can you find me a restaurant with outdoor dining that sells fruity drinks
744,  can you find me a restaurant with outside dining
745,  can you find me a restaurant with valet parking that will impress my date
746,  can you find me a seafood restaurant that serves crabs
747,  can you find me a vegetarian restaurant
748,  can you find me an eatery that accepts american express credit cards
749,  can you find me an italian restaurant within 10 miles
750,  can you find me chinese food on the way home
751,  can you find me restaurants in the area
752,  can you find me some chinese food
753,  can you find me some delicious chinese food
754,  can you find me some kosher food that is romantic
755,  can you find me someplace with a good wine list this time
756,  can you find me somewhere in southborough thats not too expensive
757,  can you find me the best chinese food in town
758,  can you find me the best place to get a sub
759,  can you find me the best place to get japanese
760,  can you find me the cheapest mexican restaurant nearby
761,  can you find me the closed burger king
762,  can you find me the closest cheesecake factory
763,  can you find me the closet mc donalds
764,  can you find me the coast line grill nearby with seating at the bar
765,  can you find me the location of daisy gs it has hotel dining
766,  can you find me the nearest mcdonalds
767,  can you find me the nearest pizzeria
768,  can you find me the nicest restaurant for italian food
769,  can you find me the phone number for ihop on tilburg street
770,  can you find me the restaurant with the best reviews
771,  can you find some reviews on the new restaurant henpeckss
772,  can you find the bar cadete enterprise near west prescott street
773,  can you find the black olive within 5 miles that offers group dining
774,  can you find the closest taco bell
